unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
Unet,40,L2,96.0,result_images/Unet_40lines_L2_TV_96epochs,36.62,0.959,0.183,36.62 / 0.959 / 0.183,36.62(3.16) / 0.959(0.017) / 0.183(0.081),MRIrec_experiments/Unet_40lines_L2/Unet_40lines_L2_epoch96_constantLR_0.001.pth
Unet,40,L1,93.0,result_images/Unet_40lines_L1_93epochs,35.89,0.963,0.197,35.89 / 0.963 / 0.197,35.89(3.35) / 0.963(0.018) / 0.197(0.086),MRIrec_experiments/Unet_40lines_L1/Unet_40lines_L1_epoch93_constantLR_0.001.pth
Unet,40,TV,99.0,result_images/Unet_40lines_TV_99epochs,36.39,0.962,0.188,36.39 / 0.962 / 0.188,36.39(3.24) / 0.962(0.015) / 0.188(0.081),MRIrec_experiments/Unet_40lines_TV/Unet_40lines_TV_epoch99_constantLR_0.001.pth
Unet,40,L2_L1,95.0,result_images/Unet_40lines_L2_L1_95epochs,35.78,0.96,0.196,35.78 / 0.960 / 0.196,35.78(3.34) / 0.960(0.019) / 0.196(0.087),MRIrec_experiments/Unet_40lines_L2_L1/Unet_40lines_L2_L1_epoch95_constantLR_0.001.pth
Unet,40,L2_TV,96.0,result_images/Unet_40lines_L2_TV_96epochs,36.62,0.959,0.183,36.62 / 0.959 / 0.183,36.62(3.16) / 0.959(0.017) / 0.183(0.081),MRIrec_experiments/Unet_40lines_L2_TV/Unet_40lines_L2_TV_epoch96_constantLR_0.001.pth
Unet,40,L1_TV,96.0,result_images/Unet_40lines_L1_TV_96epochs,36.68,0.965,0.183,36.68 / 0.965 / 0.183,36.68(3.41) / 0.965(0.016) / 0.183(0.081),MRIrec_experiments/Unet_40lines_L1_TV/Unet_40lines_L1_TV_epoch96_constantLR_0.001.pth
Unet,40,L2_L1_TV,96.0,result_images/Unet_40lines_L2_L1_TV_96epochs,36.94,0.964,0.179,36.94 / 0.964 / 0.179,36.94(3.37) / 0.964(0.017) / 0.179(0.081),MRIrec_experiments/Unet_40lines_L2_L1_TV/Unet_40lines_L2_L1_TV_epoch96_constantLR_0.001.pth
ResnetUnet,40,L2,100.0,result_images/ResnetUnet_40lines_L2_100epochs,33.98,0.948,0.218,33.98 / 0.948 / 0.218,33.98(3.42) / 0.948(0.023) / 0.218(0.082),MRIrec_experiments/ResnetUnet_40lines_L2/ResnetUnet_40lines_L2_epoch100_constantLR_0.001.pth
ResnetUnet,40,L1,100.0,result_images/ResnetUnet_40lines_L1_100epochs,35.97,0.964,0.197,35.97 / 0.964 / 0.197,35.97(3.46) / 0.964(0.019) / 0.197(0.086),MRIrec_experiments/ResnetUnet_40lines_L1/ResnetUnet_40lines_L1_epoch100_constantLR_0.001.pth
ResnetUnet,40,TV,100.0,result_images/ResnetUnet_40lines_TV_100epochs,36.69,0.969,0.187,36.69 / 0.969 / 0.187,36.69(3.41) / 0.969(0.015) / 0.187(0.083),MRIrec_experiments/ResnetUnet_40lines_TV/ResnetUnet_40lines_TV_epoch100_constantLR_0.001.pth
ResnetUnet,40,L2_L1,100.0,result_images/ResnetUnet_40lines_L2_L1_100epochs,35.91,0.963,0.199,35.91 / 0.963 / 0.199,35.91(3.50) / 0.963(0.020) / 0.199(0.085),MRIrec_experiments/ResnetUnet_40lines_L2_L1/ResnetUnet_40lines_L2_L1_epoch100_constantLR_0.001.pth
ResnetUnet,40,L2_TV,100.0,result_images/ResnetUnet_40lines_L2_TV_100epochs,36.58,0.967,0.19,36.58 / 0.967 / 0.190,36.58(3.46) / 0.967(0.016) / 0.190(0.080),MRIrec_experiments/ResnetUnet_40lines_L2_TV/ResnetUnet_40lines_L2_TV_epoch100_constantLR_0.001.pth
ResnetUnet,40,L1_TV,100.0,result_images/ResnetUnet_40lines_L1_TV_100epochs,36.72,0.969,0.19,36.72 / 0.969 / 0.190,36.72(3.51) / 0.969(0.016) / 0.190(0.084),MRIrec_experiments/ResnetUnet_40lines_L1_TV/ResnetUnet_40lines_L1_TV_epoch100_constantLR_0.001.pth
ResnetUnet,40,L2_L1_TV,99.0,result_images/ResnetUnet_40lines_L2_L1_TV_99epochs,37.04,0.971,0.179,37.04 / 0.971 / 0.179,37.04(3.46) / 0.971(0.015) / 0.179(0.081),MRIrec_experiments/ResnetUnet_40lines_L2_L1_TV/ResnetUnet_40lines_L2_L1_TV_epoch99_constantLR_0.001.pth
ConvUNeXt,40,L2,89.0,result_images/ConvUNeXt_40lines_L2_TV_89epochs,36.67,0.967,0.19,36.67 / 0.967 / 0.190,36.67(3.34) / 0.967(0.016) / 0.190(0.081),MRIrec_experiments/ConvUNeXt_40lines_L2/ConvUNeXt_40lines_L2_epoch89_constantLR_0.001.pth
ConvUNeXt,40,L1,70.0,result_images/ConvUNeXt_40lines_L1_TV_70epochs,36.86,0.969,0.183,36.86 / 0.969 / 0.183,36.86(3.50) / 0.969(0.016) / 0.183(0.081),MRIrec_experiments/ConvUNeXt_40lines_L1/ConvUNeXt_40lines_L1_epoch70_constantLR_0.001.pth
ConvUNeXt,40,TV,81.0,result_images/ConvUNeXt_40lines_TV_81epochs,36.48,0.962,0.197,36.48 / 0.962 / 0.197,36.48(3.38) / 0.962(0.018) / 0.197(0.084),MRIrec_experiments/ConvUNeXt_40lines_TV/ConvUNeXt_40lines_TV_epoch81_constantLR_0.001.pth
ConvUNeXt,40,L2_L1,92.0,result_images/ConvUNeXt_40lines_L2_L1_TV_92epochs,37.07,0.969,0.179,37.07 / 0.969 / 0.179,37.07(3.40) / 0.969(0.014) / 0.179(0.082),MRIrec_experiments/ConvUNeXt_40lines_L2_L1/ConvUNeXt_40lines_L2_L1_epoch92_constantLR_0.001.pth
ConvUNeXt,40,L2_TV,89.0,result_images/ConvUNeXt_40lines_L2_TV_89epochs,36.67,0.967,0.19,36.67 / 0.967 / 0.190,36.67(3.34) / 0.967(0.016) / 0.190(0.081),MRIrec_experiments/ConvUNeXt_40lines_L2_TV/ConvUNeXt_40lines_L2_TV_epoch89_constantLR_0.001.pth
ConvUNeXt,40,L1_TV,70.0,result_images/ConvUNeXt_40lines_L1_TV_70epochs,36.86,0.969,0.183,36.86 / 0.969 / 0.183,36.86(3.50) / 0.969(0.016) / 0.183(0.081),MRIrec_experiments/ConvUNeXt_40lines_L1_TV/ConvUNeXt_40lines_L1_TV_epoch70_constantLR_0.001.pth
ConvUNeXt,40,L2_L1_TV,92.0,result_images/ConvUNeXt_40lines_L2_L1_TV_92epochs,37.07,0.969,0.179,37.07 / 0.969 / 0.179,37.07(3.40) / 0.969(0.014) / 0.179(0.082),MRIrec_experiments/ConvUNeXt_40lines_L2_L1_TV/ConvUNeXt_40lines_L2_L1_TV_epoch92_constantLR_0.001.pth
