unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
Unet,20,L2,90.0,result_images/Unet_20lines_L2_L1_90epochs,32.79,0.93,0.247,32.79 / 0.930 / 0.247,32.79(3.45) / 0.930(0.031) / 0.247(0.091),MRIrec_experiments/Unet_20lines_L2/Unet_20lines_L2_epoch90_constantLR_0.001.pth
Unet,20,L1,86.0,result_images/Unet_20lines_L1_86epochs,33.59,0.941,0.225,33.59 / 0.941 / 0.225,33.59(3.35) / 0.941(0.027) / 0.225(0.089),MRIrec_experiments/Unet_20lines_L1/Unet_20lines_L1_epoch86_constantLR_0.001.pth
Unet,20,TV,96.0,result_images/Unet_20lines_TV_96epochs,32.88,0.933,0.248,32.88 / 0.933 / 0.248,32.88(3.35) / 0.933(0.029) / 0.248(0.085),MRIrec_experiments/Unet_20lines_TV/Unet_20lines_TV_epoch96_constantLR_0.001.pth
Unet,20,L2_L1,90.0,result_images/Unet_20lines_L2_L1_90epochs,32.79,0.93,0.247,32.79 / 0.930 / 0.247,32.79(3.45) / 0.930(0.031) / 0.247(0.091),MRIrec_experiments/Unet_20lines_L2_L1/Unet_20lines_L2_L1_epoch90_constantLR_0.001.pth
Unet,20,L2_TV,90.0,result_images/Unet_20lines_L2_TV_90epochs,33.05,0.933,0.251,33.05 / 0.933 / 0.251,33.05(3.47) / 0.933(0.032) / 0.251(0.082),MRIrec_experiments/Unet_20lines_L2_TV/Unet_20lines_L2_TV_epoch90_constantLR_0.001.pth
Unet,20,L1_TV,98.0,result_images/Unet_20lines_L1_TV_98epochs,33.41,0.941,0.239,33.41 / 0.941 / 0.239,33.41(3.46) / 0.941(0.028) / 0.239(0.087),MRIrec_experiments/Unet_20lines_L1_TV/Unet_20lines_L1_TV_epoch98_constantLR_0.001.pth
Unet,20,L2_L1_TV,95.0,result_images/Unet_20lines_L2_L1_TV_95epochs,33.39,0.925,0.24,33.39 / 0.925 / 0.240,33.39(3.36) / 0.925(0.030) / 0.240(0.087),MRIrec_experiments/Unet_20lines_L2_L1_TV/Unet_20lines_L2_L1_TV_epoch95_constantLR_0.001.pth
ResnetUnet,20,L2,97.0,result_images/ResnetUnet_20lines_L2_TV_97epochs,33.54,0.943,0.233,33.54 / 0.943 / 0.233,33.54(3.51) / 0.943(0.027) / 0.233(0.083),MRIrec_experiments/ResnetUnet_20lines_L2/ResnetUnet_20lines_L2_epoch97_constantLR_0.001.pth
ResnetUnet,20,L1,100.0,result_images/ResnetUnet_20lines_L1_TV_100epochs,33.26,0.938,0.248,33.26 / 0.938 / 0.248,33.26(3.53) / 0.938(0.029) / 0.248(0.086),MRIrec_experiments/ResnetUnet_20lines_L1/ResnetUnet_20lines_L1_epoch100_constantLR_0.001.pth
ResnetUnet,20,TV,100.0,result_images/ResnetUnet_20lines_TV_100epochs,32.64,0.929,0.273,32.64 / 0.929 / 0.273,32.64(3.53) / 0.929(0.032) / 0.273(0.086),MRIrec_experiments/ResnetUnet_20lines_TV/ResnetUnet_20lines_TV_epoch100_constantLR_0.001.pth
ResnetUnet,20,L2_L1,99.0,result_images/ResnetUnet_20lines_L2_L1_99epochs,33.03,0.939,0.243,33.03 / 0.939 / 0.243,33.03(3.50) / 0.939(0.030) / 0.243(0.089),MRIrec_experiments/ResnetUnet_20lines_L2_L1/ResnetUnet_20lines_L2_L1_epoch99_constantLR_0.001.pth
ResnetUnet,20,L2_TV,97.0,result_images/ResnetUnet_20lines_L2_TV_97epochs,33.54,0.943,0.233,33.54 / 0.943 / 0.233,33.54(3.51) / 0.943(0.027) / 0.233(0.083),MRIrec_experiments/ResnetUnet_20lines_L2_TV/ResnetUnet_20lines_L2_TV_epoch97_constantLR_0.001.pth
