unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
Unet,60,L2,100.0,result_images/Unet_60lines_L2_100epochs,36.22,0.962,0.19,36.22 / 0.962 / 0.190,36.22(3.04) / 0.962(0.016) / 0.190(0.078),MRIrec_experiments/Unet_60lines_L2/Unet_60lines_L2_epoch100_constantLR_0.001.pth
Unet,60,L1,76.0,result_images/Unet_60lines_L1_76epochs,39.06,0.979,0.148,39.06 / 0.979 / 0.148,39.06(3.47) / 0.979(0.012) / 0.148(0.078),MRIrec_experiments/Unet_60lines_L1/Unet_60lines_L1_epoch76_constantLR_0.001.pth
Unet,60,TV,96.0,result_images/Unet_60lines_TV_96epochs,39.91,0.978,0.14,39.91 / 0.978 / 0.140,39.91(3.33) / 0.978(0.009) / 0.140(0.076),MRIrec_experiments/Unet_60lines_TV/Unet_60lines_TV_epoch96_constantLR_0.001.pth
Unet,60,L2_L1,100.0,result_images/Unet_60lines_L2_L1_TV_100epochs,40.33,0.98,0.133,40.33 / 0.980 / 0.133,40.33(3.54) / 0.980(0.010) / 0.133(0.076),MRIrec_experiments/Unet_60lines_L2_L1/Unet_60lines_L2_L1_epoch100_constantLR_0.001.pth
Unet,60,L2_TV,98.0,result_images/Unet_60lines_L2_TV_98epochs,39.86,0.976,0.134,39.86 / 0.976 / 0.134,39.86(3.31) / 0.976(0.010) / 0.134(0.074),MRIrec_experiments/Unet_60lines_L2_TV/Unet_60lines_L2_TV_epoch98_constantLR_0.001.pth
Unet,60,L1_TV,96.0,result_images/Unet_60lines_L1_TV_96epochs,39.14,0.94,0.14,39.14 / 0.940 / 0.140,39.14(3.49) / 0.940(0.053) / 0.140(0.081),MRIrec_experiments/Unet_60lines_L1_TV/Unet_60lines_L1_TV_epoch96_constantLR_0.001.pth
Unet,60,L2_L1_TV,100.0,result_images/Unet_60lines_L2_L1_TV_100epochs,40.33,0.98,0.133,40.33 / 0.980 / 0.133,40.33(3.54) / 0.980(0.010) / 0.133(0.076),MRIrec_experiments/Unet_60lines_L2_L1_TV/Unet_60lines_L2_L1_TV_epoch100_constantLR_0.001.pth
ResnetUnet,60,L2,96.0,result_images/ResnetUnet_60lines_L2_96epochs,36.7,0.968,0.18,36.70 / 0.968 / 0.180,36.70(3.36) / 0.968(0.014) / 0.180(0.078),MRIrec_experiments/ResnetUnet_60lines_L2/ResnetUnet_60lines_L2_epoch96_constantLR_0.001.pth
ResnetUnet,60,L1,98.0,result_images/ResnetUnet_60lines_L1_TV_98epochs,40.53,0.985,0.129,40.53 / 0.985 / 0.129,40.53(3.69) / 0.985(0.009) / 0.129(0.072),MRIrec_experiments/ResnetUnet_60lines_L1/ResnetUnet_60lines_L1_epoch98_constantLR_0.001.pth
ResnetUnet,60,TV,67.0,result_images/ResnetUnet_60lines_TV_67epochs,40.19,0.983,0.138,40.19 / 0.983 / 0.138,40.19(3.61) / 0.983(0.009) / 0.138(0.075),MRIrec_experiments/ResnetUnet_60lines_TV/ResnetUnet_60lines_TV_epoch67_constantLR_0.001.pth
