unet,radial_lines,reconstruction,epochs,folder,psnr,ssim,lpips,metrics,metrics_std,model_path
Unet,100,L2,95.0,result_images/Unet_100lines_L2_L1_95epochs,41.5,0.985,0.105,41.50 / 0.985 / 0.105,41.50(3.49) / 0.985(0.008) / 0.105(0.067),MRIrec_experiments/Unet_100lines_L2/Unet_100lines_L2_epoch95_constantLR_0.001.pth
Unet,100,L1,79.0,result_images/Unet_100lines_L1_TV_79epochs,43.18,0.986,0.086,43.18 / 0.986 / 0.086,43.18(3.77) / 0.986(0.007) / 0.086(0.055),MRIrec_experiments/Unet_100lines_L1/Unet_100lines_L1_epoch79_constantLR_0.001.pth
Unet,100,TV,78.0,result_images/Unet_100lines_TV_78epochs,43.0,0.987,0.097,43.00 / 0.987 / 0.097,43.00(3.64) / 0.987(0.006) / 0.097(0.062),MRIrec_experiments/Unet_100lines_TV/Unet_100lines_TV_epoch78_constantLR_0.001.pth
Unet,100,L2_L1,95.0,result_images/Unet_100lines_L2_L1_95epochs,41.5,0.985,0.105,41.50 / 0.985 / 0.105,41.50(3.49) / 0.985(0.008) / 0.105(0.067),MRIrec_experiments/Unet_100lines_L2_L1/Unet_100lines_L2_L1_epoch95_constantLR_0.001.pth
Unet,100,L2_TV,93.0,result_images/Unet_100lines_L2_TV_93epochs,43.08,0.984,0.098,43.08 / 0.984 / 0.098,43.08(3.82) / 0.984(0.011) / 0.098(0.064),MRIrec_experiments/Unet_100lines_L2_TV/Unet_100lines_L2_TV_epoch93_constantLR_0.001.pth
Unet,100,L1_TV,79.0,result_images/Unet_100lines_L1_TV_79epochs,43.18,0.986,0.086,43.18 / 0.986 / 0.086,43.18(3.77) / 0.986(0.007) / 0.086(0.055),MRIrec_experiments/Unet_100lines_L1_TV/Unet_100lines_L1_TV_epoch79_constantLR_0.001.pth
Unet,100,L2_L1_TV,92.0,result_images/Unet_100lines_L2_L1_TV_92epochs,43.33,0.987,0.091,43.33 / 0.987 / 0.091,43.33(3.84) / 0.987(0.007) / 0.091(0.060),MRIrec_experiments/Unet_100lines_L2_L1_TV/Unet_100lines_L2_L1_TV_epoch92_constantLR_0.001.pth
ResnetUnet,100,L2,96.0,result_images/ResnetUnet_100lines_L2_TV_96epochs,43.86,0.991,0.088,43.86 / 0.991 / 0.088,43.86(4.04) / 0.991(0.005) / 0.088(0.057),MRIrec_experiments/ResnetUnet_100lines_L2/ResnetUnet_100lines_L2_epoch96_constantLR_0.001.pth
ResnetUnet,100,L1,97.0,result_images/ResnetUnet_100lines_L1_TV_97epochs,44.06,0.992,0.083,44.06 / 0.992 / 0.083,44.06(4.25) / 0.992(0.006) / 0.083(0.056),MRIrec_experiments/ResnetUnet_100lines_L1/ResnetUnet_100lines_L1_epoch97_constantLR_0.001.pth
ResnetUnet,100,TV,94.0,result_images/ResnetUnet_100lines_TV_94epochs,43.54,0.991,0.099,43.54 / 0.991 / 0.099,43.54(4.03) / 0.991(0.006) / 0.099(0.064),MRIrec_experiments/ResnetUnet_100lines_TV/ResnetUnet_100lines_TV_epoch94_constantLR_0.001.pth
